"지역별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"지역별(1)",계,119구급차,의료기관구급차,기타구급차,경찰차등공공차량,항공이송,기타자동차,도보,기타,미상/미입력
"전체",112874,49171,3554,14371,87,252,44438,794,205,2
"서울",24086,10086,230,3028,12,5,10398,254,73,-
"부산",6441,2892,84,1234,4,6,2143,38,39,1
"대구",7234,2774,450,1039,2,1,2769,197,2,-
"인천",6223,2898,99,891,2,29,2293,3,8,-
"광주",5155,1629,1190,706,3,5,1558,51,13,-
"대전",4412,2069,252,268,13,-,1792,13,5,-
"울산",1634,715,6,328,3,1,553,23,5,-
"세종",226,98,9,22,-,-,97,-,-,-
"경기",25072,11704,246,2583,20,8,10399,94,18,-
"강원",4694,2004,168,569,4,32,1914,1,2,-
"충북",3347,1612,88,326,1,-,1300,17,3,-
"충남",3664,1758,56,463,2,28,1354,2,1,-
"전북",6195,2512,191,895,5,36,2481,61,13,1
"전남",2835,1184,86,388,3,41,1126,1,6,-
"경북",4243,2029,84,545,4,51,1526,2,2,-
"경남",5575,2304,130,1061,5,-,2040,26,9,-
"제주",1838,903,185,25,4,9,695,11,6,-
